Date,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close,RSI,Inflation Rate,CPI,value,classification
2022-04-14,104.92,107.72,98.77,100.77,2711073.76,279743555.6211,359790.0,1348458.15,139153541.9474,2711073.76,-14157.459999999963,100.78,36.45271925526703,6.410831677385809,288.582,41.0,Fear
2022-04-15,100.77,102.91,99.55,101.31,1384490.37,140391145.6665,216894.0,727000.64,73734270.96,1384490.37,69510.90999999992,101.32,26.494757721734217,6.410831677385809,288.582,41.0,Fear
2022-04-16,101.38,103.5,100.71,102.06,1006216.36,102584953.5336,135628.0,558878.01,56993476.2314,1006216.36,111539.66000000003,102.09,28.12364581828689,6.410831677385809,288.582,41.0,Fear
2022-04-17,102.06,105.44,99.62,100.15,1509800.04,155271562.7464,236697.0,772241.9,79460031.6664,1509800.04,34683.76000000001,100.29,22.477822883776895,6.410831677385809,288.582,39.0,Fear
2022-04-18,100.15,102.65,94.62,102.33,2751434.83,271730806.7518,416771.0,1370507.25,135461983.4726,2751434.83,-10420.330000000075,102.29,26.600753295668554,6.410831677385809,288.582,42.0,Fear
2022-04-19,102.37,109.0,101.02,108.51,2675360.43,280654686.0573,372804.0,1410872.15,148134214.4888,2675360.43,146383.86999999965,108.64,35.95124209226972,6.410831677385809,288.582,41.0,Fear
2022-04-20,108.51,110.9,104.25,105.59,2768156.81,297974331.0006,403021.0,1384535.47,149089810.7735,2768156.81,914.1299999998882,105.58,43.132173269159566,6.410831677385809,288.582,40.0,Fear
2022-04-21,105.58,110.0,99.86,101.78,2671646.36,284134458.7273,369724.0,1355715.68,144386566.3418,2671646.36,39785.0,101.77,33.96442914515204,6.410831677385809,288.582,32.0,Fear
2022-04-22,101.78,103.55,99.19,100.55,1777613.85,180380786.8659,279122.0,917521.5,93138052.6849,1777613.85,57429.14999999991,100.56,39.55456570155903,6.410831677385809,288.582,32.0,Fear
2022-04-23,100.55,102.9,98.31,100.63,1081628.14,109466876.3668,196300.0,554294.34,56117467.7048,1081628.14,26960.540000000037,100.62,35.334762925899454,6.410831677385809,288.582,32.0,Fear
2022-04-24,100.63,102.31,98.55,99.23,1064136.15,106954414.4213,192110.0,540730.32,54379378.9122,1064136.15,17324.48999999999,99.24,35.78667953667954,6.410831677385809,288.582,30.0,Fear
2022-04-25,99.22,101.59,94.32,100.99,2317293.8,226174939.4707,373292.0,1207712.66,117951560.4474,2317293.8,98131.52000000002,100.98,52.008788449466415,6.410831677385809,288.582,20.0,Extreme Fear
2022-04-26,100.98,101.98,94.61,95.7,1897735.14,187010168.6056,291464.0,919928.81,90746432.2019,1897735.14,-57877.519999999786,95.75,38.89219773674809,6.410831677385809,288.582,19.0,Extreme Fear
2022-04-27,95.7,100.79,94.89,98.36,1833742.63,180105223.6554,282775.0,947330.15,93034632.1618,1833742.63,60917.67000000016,98.4,40.74501876985274,6.410831677385809,288.582,23.0,Extreme Fear
2022-04-28,98.35,100.55,96.33,98.24,1849394.04,182594839.5316,300097.0,934412.18,92271948.7664,1849394.04,19430.320000000065,98.23,45.85635359116023,6.410831677385809,288.582,18.0,Extreme Fear
2022-04-29,98.23,98.68,92.35,93.96,1736234.87,166246202.3275,255409.0,851561.14,81540496.1863,1736234.87,-33112.590000000084,93.99,39.3675659994198,6.410831677385809,288.582,18.0,Extreme Fear
2022-04-30,93.96,94.95,81.91,84.63,1829537.27,164168373.5793,275849.0,885089.41,79444869.4264,1829537.27,-59358.44999999995,87.78,32.07216236532199,6.410831677385809,288.582,18.0,Extreme Fear
2022-05-01,84.63,93.12,84.15,89.68,2353897.93,207825708.0776,366730.0,1148304.55,101427232.9507,2353897.93,-57288.830000000075,89.71,36.78821178821179,6.410831677385809,291.299,17.0,Extreme Fear
2022-05-02,89.67,90.89,85.1,87.5,1915805.97,168665929.5505,283822.0,1007216.44,88738072.361,1915805.97,98626.90999999992,87.48,31.611621554507067,6.410831677385809,291.299,30.0,Fear
2022-05-03,87.49,88.81,84.66,85.86,1562366.45,135931235.1297,200047.0,817450.09,71135573.8851,1562366.45,72533.72999999998,85.85,17.946554149085813,6.410831677385809,291.299,22.0,Extreme Fear
2022-05-04,85.86,93.06,85.47,92.77,2246070.16,198783148.9305,282723.0,1220227.05,107978749.4093,2246070.16,194383.93999999994,92.79,33.78138473243726,6.410831677385809,291.299,17.0,Extreme Fear
2022-05-05,92.77,95.25,81.32,84.52,3311421.92,290368666.4692,434945.0,1664117.47,146116282.9534,3311421.92,16813.02000000002,84.53,30.35551504102098,6.410831677385809,291.299,16.0,Extreme Fear
2022-05-06,84.52,84.84,79.98,81.68,2607225.81,213954688.34,343170.0,1375844.03,112943733.6942,2607225.81,144462.25,81.71,29.281160694658183,6.410831677385809,291.299,16.0,Extreme Fear
2022-05-07,81.67,82.33,77.03,78.86,1906773.25,153609731.6619,220157.0,986292.57,79507805.7126,1906773.25,65811.8899999999,78.87,27.470478558110642,6.410831677385809,291.299,16.0,Extreme Fear
2022-05-08,78.86,79.41,73.69,75.38,2736836.4,210452506.8299,310522.0,1408749.66,108330759.7197,2736836.4,80662.91999999993,75.34,26.299087663625556,6.410831677385809,291.299,10.0,Extreme Fear
2022-05-09,75.39,77.21,61.7,62.16,5846036.682,404836586.308331,714133.0,2920652.327,202387146.97775,5846036.682,-4732.027999999933,62.25,18.649830014570185,6.410831677385809,291.299,10.0,Extreme Fear
2022-05-10,62.16,74.03,60.13,66.9,7855041.331,533633557.199898,994845.0,3947633.24,268321186.5237,7855041.331,40225.14900000021,66.74,26.233000163853845,6.410831677385809,291.299,8.0,Extreme Fear
2022-05-11,66.9,68.44,43.17,50.9,11626123.021,655895713.542589,1460193.0,5649152.28,319526365.07951,11626123.021,-327818.4609999992,50.93,18.007817765197473,6.410831677385809,291.299,6.0,Extreme Fear
2022-05-12,50.9,54.29,37.37,44.64,13635820.465,615675880.93754,1539677.0,6752034.03,305291098.5914,13635820.465,-131752.40499999933,44.62,16.631395493588954,6.410831677385809,291.299,11.0,Extreme Fear
2022-05-13,44.64,56.99,43.83,48.92,8718594.5,445956256.0485,892190.0,4418335.19,226247557.656,8718594.5,118075.88000000082,48.94,21.987315010570825,6.410831677385809,291.299,11.0,Extreme Fear
2022-05-14,48.93,53.91,45.81,52.43,5099487.21,253571501.88,618557.0,2563154.6,127550033.9987,5099487.21,26821.990000000224,52.41,27.230590961761294,6.410831677385809,291.299,11.0,Extreme Fear
2022-05-15,52.43,59.31,49.63,58.83,3885558.77,208778706.7702,477977.0,1983125.0,106620295.5341,3885558.77,80691.22999999998,58.85,31.224142127038206,6.410831677385809,291.299,14.0,Extreme Fear
2022-05-16,58.83,58.83,51.89,53.79,5418221.63,295070394.3347,627274.0,2688395.31,146538363.4246,5418221.63,-41431.00999999978,53.77,30.17758438198284,6.410831677385809,291.299,15.0,Extreme Fear
2022-05-17,53.8,58.22,53.04,57.02,4346066.59,242391527.4977,531717.0,2104357.35,117396352.5847,4346066.59,-137351.88999999966,57.04,33.37948540440752,6.410831677385809,291.299,9.0,Extreme Fear
