Date,Open,High,Low,close_x,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2024-07-22,7.29,7.66,7.073,7.229,8206908.03,60622149.41154,403895.0,4077555.3,30158959.01697,8206908.03,-51797.43000000063,7.233,61.921132457027284,2.872366268806581,313.566,70.0,Greed
2024-07-23,7.228,7.314,6.355,6.407,4720736.76,32189331.42819,267587.0,2217690.55,15122093.79763,4720736.76,-285355.66000000015,6.406,40.71319186173704,2.872366268806581,313.566,71.0,Greed
2024-07-24,6.407,6.503,5.947,5.984,3510679.68,22192651.98104,165221.0,1580679.65,10001398.63036,3510679.68,-349320.38000000035,5.984,40.739929947460595,2.872366268806581,313.566,69.0,Greed
2024-07-25,5.983,5.983,5.409,5.714,5403010.27,30862712.69799,237076.0,2726255.59,15543245.42739,5403010.27,49500.91000000015,5.714,41.829624634749386,2.872366268806581,313.566,68.0,Greed
2024-07-26,5.715,6.049,5.689,5.992,2912829.47,17094162.19419,124482.0,1436440.98,8427310.31414,2912829.47,-39947.51000000024,5.992,45.990109653837884,2.872366268806581,313.566,68.0,Greed
2024-07-27,5.991,6.1,5.661,5.882,2343158.9,13846298.96335,121860.0,1072058.13,6340375.88297,2343158.9,-199042.64000000013,5.883,47.713584653134056,2.872366268806581,313.566,72.0,Greed
2024-07-28,5.881,5.881,5.564,5.681,1746880.95,9955280.92274,76880.0,822658.08,4686428.06723,1746880.95,-101564.79000000004,5.683,42.80575539568344,2.872366268806581,313.566,71.0,Greed
2024-07-29,5.682,5.913,5.448,5.569,2828109.4,16094202.54423,133591.0,1341115.35,7634662.83956,2828109.4,-145878.69999999972,5.571,34.2085707208323,2.872366268806581,313.566,74.0,Greed
2024-07-30,5.57,5.745,5.259,5.427,2235987.37,12369433.30576,131697.0,1107356.79,6129184.4333,2235987.37,-21273.790000000037,5.426,34.92665655032879,2.872366268806581,313.566,67.0,Greed
2024-07-31,5.428,5.532,5.245,5.269,2504154.87,13550188.46526,95204.0,1218752.22,6595581.39416,2504154.87,-66650.43000000017,5.27,36.60217333686721,2.872366268806581,313.566,61.0,Greed
2024-08-01,5.269,5.675,5.033,5.585,4613129.08,24718205.58285,187884.0,2320581.54,12458294.38755,4613129.08,28034.0,5.584,42.38559639909978,2.872366268806581,314.131,52.0,Greed
2024-08-02,5.585,5.639,5.02,5.326,6569206.56,34851942.0233,264170.0,3334283.12,17659326.65394,6569206.56,99359.68000000063,5.326,36.53703244983898,2.872366268806581,314.131,57.0,Greed
2024-08-03,5.327,5.552,4.899,4.965,5134568.55,26928345.92906,189909.0,2380482.83,12504741.15762,5134568.55,-373602.88999999966,4.966,31.649122807017548,2.872366268806581,314.131,37.0,Fear
2024-08-04,4.966,5.298,4.577,4.72,4679189.91,22996051.01566,181247.0,2191306.75,10772982.93227,4679189.91,-296576.41000000015,4.718,15.736310473152571,2.872366268806581,314.131,34.0,Fear
2024-08-05,4.72,5.301,3.9,4.741,16019247.45,73769858.94424,741130.0,7758567.65,35707742.41089,16019247.45,-502112.1499999985,4.737,16.433566433566426,2.872366268806581,314.131,26.0,Fear
2024-08-06,4.741,5.161,4.709,4.979,5119655.8,25433870.37538,267621.0,2548638.54,12670225.60076,5119655.8,-22378.71999999974,4.98,27.24952137843013,2.872366268806581,314.131,17.0,Extreme Fear
2024-08-07,4.979,5.102,4.455,4.525,4248495.88,20406929.65618,195864.0,1944028.82,9326258.53642,4248495.88,-360438.2399999995,4.523,26.94856421584096,2.872366268806581,314.131,29.0,Fear
2024-08-08,4.526,5.7,4.47,5.659,9258638.95,45290857.75076,255872.0,4706267.31,23097917.34686,9258638.95,153895.66999999993,5.659,49.31846344485749,2.872366268806581,314.131,20.0,Extreme Fear
2024-08-09,5.66,5.798,5.418,5.602,8077642.07,45397054.76898,263855.0,3934959.68,22132507.8644,8077642.07,-207722.70999999996,5.602,44.887257472469855,2.872366268806581,314.131,48.0,Fear
2024-08-10,5.602,6.249,5.517,5.876,7420170.14,43005830.19778,251067.0,3685678.34,21361434.48783,7420170.14,-48813.45999999996,5.877,49.92462311557789,2.872366268806581,314.131,40.0,Fear
2024-08-11,5.878,5.878,5.105,5.124,4023070.87,22081207.33088,124995.0,1852586.19,10160419.71818,4023070.87,-317898.4900000002,5.124,43.83410544893007,2.872366268806581,314.131,39.0,Fear
2024-08-12,5.123,6.056,5.07,5.864,6872178.45,38885116.78212,266451.0,3437012.81,19461380.46949,6872178.45,1847.1699999999255,5.863,52.82945736434109,2.872366268806581,314.131,25.0,Fear
2024-08-13,5.865,6.425,5.533,6.196,5378443.15,32348886.17461,248012.0,2710733.83,16288344.36699,5378443.15,43024.50999999978,6.195,57.19094819524967,2.872366268806581,314.131,31.0,Fear
