Date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,Inflation Rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply,circulating_total_ratio,price_to_circulating_supply
2024-12-05,168467200.48212227,55568380.80874745,0.16836466967610644,0.16836466967610644,0.16836466967610644,0.16836466967610644,0.16836466967610644,55568380.80874745,84.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-06,200678975.5037596,56699326.743945666,0.20187720026451136,0.20187720026451136,0.20187720026451136,0.20187720026451136,0.20187720026451136,56699326.743945666,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-07,222586802.73489368,49938937.95360744,0.22247855322865104,0.22247855322865104,0.22247855322865104,0.22247855322865104,0.22247855322865104,49938937.95360744,75.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-08,201922425.66717216,53175744.10831117,0.20200477994229143,0.20200477994229143,0.20200477994229143,0.20200477994229143,0.20200477994229143,53175744.10831117,79.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-09,310643411.91776395,72869245.89058308,0.31054756327743566,0.31054756327743566,0.31054756327743566,0.31054756327743566,0.31054756327743566,72869245.89058308,78.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-10,337308251.1610309,79902284.35460071,0.3375041265206311,0.3375041265206311,0.3375041265206311,0.3375041265206311,0.3375041265206311,79902284.35460071,78.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-11,381729106.6784331,77228835.46555807,0.38189020294930764,0.38189020294930764,0.38189020294930764,0.38189020294930764,0.38189020294930764,77228835.46555807,74.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-12,543302910.6488097,114372048.7562814,0.5431795801309437,0.5431795801309437,0.5431795801309437,0.5431795801309437,0.5431795801309437,114372048.7562814,83.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-13,586158852.9387381,77582682.75426179,0.5862860737802502,0.5862860737802502,0.5862860737802502,0.5862860737802502,0.5862860737802502,77582682.75426179,76.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-14,700259883.3333162,124460199.29180865,0.696866245777065,0.696866245777065,0.696866245777065,0.696866245777065,0.696866245777065,124460199.29180865,83.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-12-15,646185605.3503659,99017655.51272592,0.6476558206593828,0.605556,0.771096,0.558368,0.647656,99017655.51272592,80.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
