date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2024-01-28,0.0,194.3364147361692,1.744067778457022e-13,1.744067778457022e-13,1.744067778457022e-13,1.744067778457022e-13,1.744067778457022e-13,194.3364147361692,54.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-29,0.0,373.9363807374774,1.8212326868355416e-13,1.8212326868355416e-13,1.8212326868355416e-13,1.8212326868355416e-13,1.8212326868355416e-13,373.9363807374774,55.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-30,0.0,0.3204212531332343,1.8547878153799354e-13,1.8547878153799354e-13,1.8547878153799354e-13,1.8547878153799354e-13,1.8547878153799354e-13,0.3204212531332343,61.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-01-31,0.0,31.419976748472223,1.805056514213802e-13,1.805056514213802e-13,1.805056514213802e-13,1.805056514213802e-13,1.805056514213802e-13,31.419976748472223,60.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-01,0.0,6.269763655414993,1.7569736314398085e-13,1.7569736314398085e-13,1.7569736314398085e-13,1.7569736314398085e-13,1.7569736314398085e-13,6.269763655414993,63.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-02,0.0,5.066449915140193,1.7537451503494383e-13,1.7537451503494383e-13,1.7537451503494383e-13,1.7537451503494383e-13,1.7537451503494383e-13,5.066449915140193,63.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-03,0.0,73.30362950368395,1.7882455427627112e-13,1.7882455427627112e-13,1.7882455427627112e-13,1.7882455427627112e-13,1.7882455427627112e-13,73.30362950368395,60.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-04,0.0,0.6770805973303679,1.786281339538233e-13,1.786281339538233e-13,1.786281339538233e-13,1.786281339538233e-13,1.786281339538233e-13,0.6770805973303679,60.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-05,0.0,36.49577346982066,1.8444847478451096e-13,1.8444847478451096e-13,1.8444847478451096e-13,1.8444847478451096e-13,1.8444847478451096e-13,36.49577346982066,60.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-06,0.0,0.24987873718927292,1.8252669573209023e-13,1.8252669573209023e-13,1.8252669573209023e-13,1.8252669573209023e-13,1.8252669573209023e-13,0.24987873718927292,64.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-07,0.0,13.353203220286423,1.8207232100972304e-13,1.8207232100972304e-13,1.8207232100972304e-13,1.8207232100972304e-13,1.8207232100972304e-13,13.353203220286423,62.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-08,0.0,129.90255450917303,1.858107863472121e-13,1.858107863472121e-13,1.858107863472121e-13,1.858107863472121e-13,1.858107863472121e-13,129.90255450917303,66.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-09,0.0,10.30036149760488,1.9260671714155656e-13,1.9260671714155656e-13,1.9260671714155656e-13,1.9260671714155656e-13,1.9260671714155656e-13,10.30036149760488,72.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-10,0.0,210.2476732881806,2.1048280406728623e-13,2.1048280406728623e-13,2.1048280406728623e-13,2.1048280406728623e-13,2.1048280406728623e-13,210.2476732881806,74.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2024-02-11,0.0,64.60939360384484,2.1020184970484153e-13,2.1020184970484153e-13,2.1020184970484153e-13,2.1020184970484153e-13,2.1020184970484153e-13,64.60939360384484,71.0,Greed,2.872366268806581,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
